address,description,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
20014 59th Ave SE,NA,Snohomish,WA,98296,1868000,7359.0,4.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20014-59th-Ave-SE-Snohomish-WA-98296/80386855_zpid/
20700 76th Ave SE,NA,Snohomish,WA,98296,898000,3351.0,4.0,2.75,2,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20700-76th-Ave-SE-Snohomish-WA-98296/38608633_zpid/
13506 70th Dr SE,NA,Snohomish,WA,98296,674950,2957.0,4.0,3.0,2,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/13506-70th-Dr-SE-Snohomish-WA-98296/58664938_zpid/
14200 69th Dr SE UNIT A5,NA,Snohomish,WA,98296,292950,1105.0,2.0,2.0,5,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/14200-69th-Dr-SE-UNIT-A5-Snohomish-WA-98296/62755646_zpid/
11305 214th Pl SE,NA,Snohomish,WA,98296,1450000,4454.0,4.0,4.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11305-214th-Pl-SE-Snohomish-WA-98296/2090936356_zpid/
15202 67th Dr SE,NA,Snohomish,WA,98296,635000,2556.0,4.0,2.5,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/15202-67th-Dr-SE-Snohomish-WA-98296/38602068_zpid/
14313 214th St SE,NA,Snohomish,WA,98296,544000,2237.0,3.0,3.0,5,Auction,http://www.zillow.com/homes/for_sale//homedetails/14313-214th-St-SE-Snohomish-WA-98296/38453055_zpid/
11412 214th Pl SE,NA,Snohomish,WA,98296,1775000,4871.0,6.0,4.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11412-214th-Pl-SE-Snohomish-WA-98296/2091147873_zpid/
11621 60th Ave SE,NA,Snohomish,WA,98296,489950,2213.0,4.0,3.0,3,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11621-60th-Ave-SE-Snohomish-WA-98296/72068995_zpid/
15303 75th Ave SE,NA,Snohomish,WA,98296,749950,3826.0,4.0,4.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/15303-75th-Ave-SE-Snohomish-WA-98296/67075107_zpid/
11319 214th Pl SE,NA,Snohomish,WA,98296,1175000,3875.0,4.0,2.0,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11319-214th-Pl-SE-Snohomish-WA-98296/2091148265_zpid/
0 Xx 212th St SE,NA,Snohomish,WA,98296,550000,NA,NA,NA,6,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Xx-212th-St-SE-Snohomish-WA-98296/2090982850_zpid/
21431 114th Ave SE,NA,Snohomish,WA,98296,1325000,4076.0,4.0,2.5,10,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/21431-114th-Ave-SE-Snohomish-WA-98296/2091149152_zpid/
13620 State Route 9 SE,NA,Snohomish,WA,98296,710000,3058.0,3.0,3.0,18,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/13620-State-Route-9-SE-Snohomish-WA-98296/38468457_zpid/
10406 180th St SE,NA,Snohomish,WA,98296,250000,1080.0,3.0,2.0,53,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10406-180th-St-SE-Snohomish-WA-98296/38483216_zpid/
20308 118th Ave SE,NA,Snohomish,WA,98296,1580000,3801.0,4.0,3.0,53,New Construction,http://www.zillow.com/homes/for_sale//homedetails/20308-118th-Ave-SE-Snohomish-WA-98296/2091630958_zpid/
12416 68TH Ave SE,NA,SNOHOMISH,WA,98296,614000,3099.0,4.0,3.0,535,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/12416-68TH-Ave-SE-Snohomish-WA-98296/72066586_zpid/
11809 202nd St SE,NA,Snohomish,WA,98296,756000,3016.0,4.0,2.5,220,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/11809-202nd-St-SE-Snohomish-WA-98296/38451553_zpid/
0 164 St SE,NA,Snohomish,WA,98296,87710,NA,NA,NA,116,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-164-St-SE-Snohomish-WA-98296/2092191820_zpid/
14210 63rd Dr SE,NA,Snohomish,WA,98296,574900,2734.0,5.0,5.0,130,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/14210-63rd-Dr-SE-Snohomish-WA-98296/38578160_zpid/
12809 218th Pl SE,NA,Snohomish,WA,98296,169998,10454.0,NA,NA,137,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/12809-218th-Pl-SE-Snohomish-WA-98296/2092429759_zpid/
